Site ID,M35/1382
Site Name,Pump 4 Potable
Site ID,SampleID,Collection Date,Measurement,Value,Units
"M35/1382","20237620","13-Dec 2023 09:15am","pH","7.9",""
"M35/1382","20237620","13-Dec 2023 09:15am","pH (Field)","7.59",""
"M35/1382","20237620","13-Dec 2023 09:15am","Potassium, Dissolved","0.860","mg/L"
"M35/1382","20237620","13-Dec 2023 09:15am","Silica, Reactive","19.100","mg/L  as SiO2"
"M35/1382","20237620","13-Dec 2023 09:15am","Sodium, Dissolved","9.100","mg/L"
"M35/1382","20237620","13-Dec 2023 09:15am","Sulphate","2.700","mg/L"
"M35/1382","20237620","13-Dec 2023 09:15am","Sum of anions","1.300","meq/L"
"M35/1382","20237620","13-Dec 2023 09:15am","Sum of cations","1.420","meq/L"
"M35/1382","20237620","13-Dec 2023 09:15am","Total Coliforms","<1.00","number/100mL"
"M35/1382","20237620","13-Dec 2023 09:15am","Water Temperature (Field)","13.8","C"
"M35/1382","20235487","15-Sep 2023 08:40am","Alkalinity, Total","51.0","g/m3 as CaCO3"
"M35/1382","20235487","15-Sep 2023 08:40am","Aluminium, Dissolved","<0.003","mg/L"
"M35/1382","20235487","15-Sep 2023 08:40am","Ammoniacal Nitrogen","<0.010","mg/L"
"M35/1382","20235487","15-Sep 2023 08:40am","Arsenic, Dissolved","<0.0010","mg/L"
"M35/1382","20235487","15-Sep 2023 08:40am","Bicarbonate","62.000","mg/L  at 25°C"
"M35/1382","20235487","15-Sep 2023 08:40am","Calcium, Dissolved","19.300","mg/L"
"M35/1382","20235487","15-Sep 2023 08:40am","Chloride","5.400","mg/L"
"M35/1382","20235487","15-Sep 2023 08:40am","Conductivity","13.7","mS/m"
"M35/1382","20235487","15-Sep 2023 08:40am","Conductivity (Field)","13.25","mS/m"
"M35/1382","20235487","15-Sep 2023 08:40am","Difference in Ion Balance","2.000","%"
"M35/1382","20235487","15-Sep 2023 08:40am","Dissolved Oxygen","8.580","mg/L"
"M35/1382","20235487","15-Sep 2023 08:40am","Dissolved Oxygen Saturation","82.000","%"
"M35/1382","20235487","15-Sep 2023 08:40am","Dissolved Reactive Phosphorus","0.0033","mg/L"
"M35/1382","20235487","15-Sep 2023 08:40am","E. coli","<1","MPN/100mL"
"M35/1382","20235487","15-Sep 2023 08:40am","Hardness, Total","57.000","g/m3 as CaCO3"
"M35/1382","20235487","15-Sep 2023 08:40am","Iron, Dissolved","<0.020","mg/L"
"M35/1382","20235487","15-Sep 2023 08:40am","Magnesium, Dissolved","2.300","mg/L"
"M35/1382","20235487","15-Sep 2023 08:40am","Manganese, Dissolved","0.0135","mg/L"
"M35/1382","20235487","15-Sep 2023 08:40am","Nitrate Nitrogen","0.890","mg/L"
"M35/1382","20235487","15-Sep 2023 08:40am","Nitrate-N Nitrite-N","0.890","g/m3"
"M35/1382","20235487","15-Sep 2023 08:40am","Nitrite Nitrogen","<0.002","mg/L"
"M35/1382","20235487","15-Sep 2023 08:40am","Oxidation Reduction Potential","174.000","mV"
"M35/1382","20235487","15-Sep 2023 08:40am","pH","7.5",""
"M35/1382","20235487","15-Sep 2023 08:40am","pH (Field)","6.45",""
"M35/1382","20235487","15-Sep 2023 08:40am","Potassium, Dissolved","0.890","mg/L"
"M35/1382","20235487","15-Sep 2023 08:40am","Silica, Reactive","11.700","mg/L  as SiO2"
"M35/1382","20235487","15-Sep 2023 08:40am","Sodium, Dissolved","5.100","mg/L"
"M35/1382","20235487","15-Sep 2023 08:40am","Sulphate","5.400","mg/L"
"M35/1382","20235487","15-Sep 2023 08:40am","Sum of anions","1.340","meq/L"
"M35/1382","20235487","15-Sep 2023 08:40am","Sum of cations","1.390","meq/L"
"M35/1382","20235487","15-Sep 2023 08:40am","Total Coliforms","<1.00","number/100mL"
"M35/1382","20235487","15-Sep 2023 08:40am","Total Dissolved Phosphorus","<0.002","mg/L"
"M35/1382","20235487","15-Sep 2023 08:40am","Water Temperature (Field)","13.2","C"
"M35/1382","20234040","15-Jun 2023 11:10am","Alkalinity, Total","54.0","g/m3 as CaCO3"
"M35/1382","20234040","15-Jun 2023 11:10am","Bicarbonate","65.000","mg/L  at 25°C"
"M35/1382","20234040","15-Jun 2023 11:10am","Calcium, Dissolved","17.800","mg/L"
"M35/1382","20234040","15-Jun 2023 11:10am","Chloride","3.800","mg/L"
"M35/1382","20234040","15-Jun 2023 11:10am","Conductivity","13.4","mS/m"
"M35/1382","20234040","15-Jun 2023 11:10am","Conductivity (Field)","13.42","mS/m"
"M35/1382","20234040","15-Jun 2023 11:10am","Difference in Ion Balance","0.190","%"
"M35/1382","20234040","15-Jun 2023 11:10am","Dissolved Oxygen","8.140","mg/L"
"M35/1382","20234040","15-Jun 2023 11:10am","Dissolved Oxygen Saturation","77.800","%"
"M35/1382","20234040","15-Jun 2023 11:10am","E. coli","<1","MPN/100mL"
"M35/1382","20234040","15-Jun 2023 11:10am","Hardness, Total","53.000","g/m3 as CaCO3"
"M35/1382","20234040","15-Jun 2023 11:10am","Magnesium, Dissolved","2.100","mg/L"
"M35/1382","20234040","15-Jun 2023 11:10am","Nitrate Nitrogen","0.510","mg/L"
"M35/1382","20234040","15-Jun 2023 11:10am","Oxidation Reduction Potential","297.700","mV"
"M35/1382","20234040","15-Jun 2023 11:10am","pH","7.3",""
"M35/1382","20234040","15-Jun 2023 11:10am","pH (Field)","6.51",""
"M35/1382","20234040","15-Jun 2023 11:10am","Potassium, Dissolved","0.940","mg/L"
"M35/1382","20234040","15-Jun 2023 11:10am","Silica, Reactive","12.700","mg/L  as SiO2"
"M35/1382","20234040","15-Jun 2023 11:10am","Sodium, Dissolved","5.300","mg/L"
"M35/1382","20234040","15-Jun 2023 11:10am","Sulphate","5.100","mg/L"
"M35/1382","20234040","15-Jun 2023 11:10am","Sum of anions","1.320","meq/L"
"M35/1382","20234040","15-Jun 2023 11:10am","Sum of cations","1.320","meq/L"
"M35/1382","20234040","15-Jun 2023 11:10am","Total Coliforms","<1.00","number/100mL"
"M35/1382","20234040","15-Jun 2023 11:10am","Water Temperature (Field)","13.3","C"
"M35/1382","20232461","15-Mar 2023 09:45am","Alkalinity, Total","50.0","g/m3 as CaCO3"
"M35/1382","20232461","15-Mar 2023 09:45am","Bicarbonate","60.000","mg/L  at 25°C"
"M35/1382","20232461","15-Mar 2023 09:45am","Calcium, Dissolved","17.400","mg/L"
"M35/1382","20232461","15-Mar 2023 09:45am","Chloride","3.900","mg/L"
"M35/1382","20232461","15-Mar 2023 09:45am","Conductivity","12.7","mS/m"
"M35/1382","20232461","15-Mar 2023 09:45am","Conductivity (Field)","12.36","mS/m"
"M35/1382","20232461","15-Mar 2023 09:45am","Difference in Ion Balance","2.200","%"
"M35/1382","20232461","15-Mar 2023 09:45am","Dissolved Oxygen","9.250","mg/L"
"M35/1382","20232461","15-Mar 2023 09:45am","Dissolved Oxygen Saturation","87.300","%"
"M35/1382","20232461","15-Mar 2023 09:45am","E. coli","<1","MPN/100mL"
"M35/1382","20232461","15-Mar 2023 09:45am","Hardness, Total","52.000","g/m3 as CaCO3"
"M35/1382","20232461","15-Mar 2023 09:45am","Magnesium, Dissolved","1.990","mg/L"
"M35/1382","20232461","15-Mar 2023 09:45am","Nitrate Nitrogen","0.480","mg/L"
"M35/1382","20232461","15-Mar 2023 09:45am","Oxidation Reduction Potential","205.300","mV"
"M35/1382","20232461","15-Mar 2023 09:45am","pH","7.2",""
"M35/1382","20232461","15-Mar 2023 09:45am","pH (Field)","6.54",""
"M35/1382","20232461","15-Mar 2023 09:45am","Potassium, Dissolved","0.910","mg/L"
"M35/1382","20232461","15-Mar 2023 09:45am","Silica, Reactive","11.700","mg/L  as SiO2"
"M35/1382","20232461","15-Mar 2023 09:45am","Sodium, Dissolved","5.300","mg/L"
"M35/1382","20232461","15-Mar 2023 09:45am","Sulphate","4.600","mg/L"
"M35/1382","20232461","15-Mar 2023 09:45am","Sum of anions","1.230","meq/L"
"M35/1382","20232461","15-Mar 2023 09:45am","Sum of cations","1.290","meq/L"
"M35/1382","20232461","15-Mar 2023 09:45am","Total Coliforms","<1.00","number/100mL"
"M35/1382","20232461","15-Mar 2023 09:45am","Water Temperature (Field)","13.3","C"
"M35/1382","20227562","12-Dec 2022 11:00am","Alkalinity, Total","49.0","g/m3 as CaCO3"
"M35/1382","20227562","12-Dec 2022 11:00am","Bicarbonate","60.000","mg/L  at 25°C"
"M35/1382","20227562","12-Dec 2022 11:00am","Calcium, Dissolved","17.700","mg/L"
"M35/1382","20227562","12-Dec 2022 11:00am","Chloride","5.400","mg/L"
"M35/1382","20227562","12-Dec 2022 11:00am","Conductivity","13.7","mS/m"
"M35/1382","20227562","12-Dec 2022 11:00am","Conductivity (Field)","13.04","mS/m"
"M35/1382","20227562","12-Dec 2022 11:00am","Difference in Ion Balance","0.610","%"
"M35/1382","20227562","12-Dec 2022 11:00am","Dissolved Oxygen","8.740","mg/L"
"M35/1382","20227562","12-Dec 2022 11:00am","Dissolved Oxygen Saturation","86.600","%"
"M35/1382","20227562","12-Dec 2022 11:00am","E. coli","<1","MPN/100mL"
"M35/1382","20227562","12-Dec 2022 11:00am","Hardness, Total","52.000","g/m3 as CaCO3"
"M35/1382","20227562","12-Dec 2022 11:00am","Magnesium, Dissolved","1.870","mg/L"
"M35/1382","20227562","12-Dec 2022 11:00am","Nitrate Nitrogen","0.690","mg/L"
"M35/1382","20227562","12-Dec 2022 11:00am","Oxidation Reduction Potential","239.900","mV"
"M35/1382","20227562","12-Dec 2022 11:00am","pH","7.3",""
"M35/1382","20227562","12-Dec 2022 11:00am","pH (Field)","6.50",""
"M35/1382","20227562","12-Dec 2022 11:00am","Potassium, Dissolved","0.900","mg/L"
"M35/1382","20227562","12-Dec 2022 11:00am","Silica, Reactive","12.500","mg/L  as SiO2"
"M35/1382","20227562","12-Dec 2022 11:00am","Sodium, Dissolved","5.600","mg/L"
"M35/1382","20227562","12-Dec 2022 11:00am","Sulphate","5.000","mg/L"
"M35/1382","20227562","12-Dec 2022 11:00am","Sum of anions","1.290","meq/L"
"M35/1382","20227562","12-Dec 2022 11:00am","Sum of cations","1.300","meq/L"
"M35/1382","20227562","12-Dec 2022 11:00am","Total Coliforms","<1.00","number/100mL"
"M35/1382","20227562","12-Dec 2022 11:00am","Water Temperature (Field)","13.1","C"
"M35/1382","20225098","09-Sep 2022 11:50am","Alkalinity, Total","45.0","g/m3 as CaCO3"
"M35/1382","20225098","09-Sep 2022 11:50am","Ammoniacal Nitrogen","<0.010","mg/L"
"M35/1382","20225098","09-Sep 2022 11:50am","Arsenic, Dissolved","0.0019","mg/L"
"M35/1382","20225098","09-Sep 2022 11:50am","Bicarbonate","55.000","mg/L  at 25°C"
"M35/1382","20225098","09-Sep 2022 11:50am","Calcium, Dissolved","19.900","mg/L"
"M35/1382","20225098","09-Sep 2022 11:50am","Chloride","8.900","mg/L"
"M35/1382","20225098","09-Sep 2022 11:50am","Conductivity","15.6","mS/m"
"M35/1382","20225098","09-Sep 2022 11:50am","Conductivity (Field)","14.50","mS/m"
"M35/1382","20225098","09-Sep 2022 11:50am","Difference in Ion Balance","0.960","%"
"M35/1382","20225098","09-Sep 2022 11:50am","Dissolved Oxygen","9.420","mg/L"
"M35/1382","20225098","09-Sep 2022 11:50am","Dissolved Oxygen Saturation","88.100","%"
"M35/1382","20225098","09-Sep 2022 11:50am","Dissolved Reactive Phosphorus","0.0027","mg/L"
"M35/1382","20225098","09-Sep 2022 11:50am","E. coli","<1","MPN/100mL"
"M35/1382","20225098","09-Sep 2022 11:50am","Hardness, Total","59.000","g/m3 as CaCO3"
"M35/1382","20225098","09-Sep 2022 11:50am","Iron, Dissolved","<0.020","mg/L"
"M35/1382","20225098","09-Sep 2022 11:50am","Magnesium, Dissolved","2.300","mg/L"
"M35/1382","20225098","09-Sep 2022 11:50am","Manganese, Dissolved","<0.0005","mg/L"
"M35/1382","20225098","09-Sep 2022 11:50am","Nitrate Nitrogen","1.670","mg/L"
"M35/1382","20225098","09-Sep 2022 11:50am","Nitrate-N Nitrite-N","1.670","g/m3"
"M35/1382","20225098","09-Sep 2022 11:50am","Nitrite Nitrogen","<0.002","mg/L"
"M35/1382","20225098","09-Sep 2022 11:50am","Oxidation Reduction Potential","253.700","mV"
"M35/1382","20225098","09-Sep 2022 11:50am","pH","7.6",""
"M35/1382","20225098","09-Sep 2022 11:50am","pH (Field)","6.39",""
"M35/1382","20225098","09-Sep 2022 11:50am","Potassium, Dissolved","0.970","mg/L"
"M35/1382","20225098","09-Sep 2022 11:50am","Silica, Reactive","12.000","mg/L  as SiO2"
"M35/1382","20225098","09-Sep 2022 11:50am","Sodium, Dissolved","5.500","mg/L"
"M35/1382","20225098","09-Sep 2022 11:50am","Sulphate","7.000","mg/L"
"M35/1382","20225098","09-Sep 2022 11:50am","Sum of anions","1.420","meq/L"
"M35/1382","20225098","09-Sep 2022 11:50am","Sum of cations","1.450","meq/L"
"M35/1382","20225098","09-Sep 2022 11:50am","Total Coliforms","<1.00","number/100mL"
"M35/1382","20225098","09-Sep 2022 11:50am","Total Dissolved Phosphorus","0.002","mg/L"
"M35/1382","20225098","09-Sep 2022 11:50am","Water Temperature (Field)","13.3","C"
"M35/1382","20222480","16-Mar 2022 07:30am","Alkalinity, Total","51.0","g/m3 as CaCO3"
"M35/1382","20222480","16-Mar 2022 07:30am","Bicarbonate","62.000","mg/L  at 25°C"
"M35/1382","20222480","16-Mar 2022 07:30am","Calcium, Dissolved","18.400","mg/L"
"M35/1382","20222480","16-Mar 2022 07:30am","Chloride","4.300","mg/L"
"M35/1382","20222480","16-Mar 2022 07:30am","Conductivity","13.4","mS/m"
"M35/1382","20222480","16-Mar 2022 07:30am","Conductivity (Field)","13.87","mS/m"
"M35/1382","20222480","16-Mar 2022 07:30am","Difference in Ion Balance","1.100","%"
"M35/1382","20222480","16-Mar 2022 07:30am","Dissolved Oxygen","8.980","mg/L"
"M35/1382","20222480","16-Mar 2022 07:30am","Dissolved Oxygen Saturation","84.300","%"
"M35/1382","20222480","16-Mar 2022 07:30am","E. coli","<1","MPN/100mL"
"M35/1382","20222480","16-Mar 2022 07:30am","Hardness, Total","55.000","g/m3 as CaCO3"
"M35/1382","20222480","16-Mar 2022 07:30am","Magnesium, Dissolved","2.200","mg/L"
"M35/1382","20222480","16-Mar 2022 07:30am","Nitrate Nitrogen","0.780","mg/L"
"M35/1382","20222480","16-Mar 2022 07:30am","Oxidation Reduction Potential","209.500","mV"
"M35/1382","20222480","16-Mar 2022 07:30am","pH","7.3",""
"M35/1382","20222480","16-Mar 2022 07:30am","pH (Field)","6.55",""
"M35/1382","20222480","16-Mar 2022 07:30am","Potassium, Dissolved","0.960","mg/L"
"M35/1382","20222480","16-Mar 2022 07:30am","Silica, Reactive","12.000","mg/L  as SiO2"
"M35/1382","20222480","16-Mar 2022 07:30am","Sodium, Dissolved","5.200","mg/L"
"M35/1382","20222480","16-Mar 2022 07:30am","Sulphate","5.700","mg/L"
"M35/1382","20222480","16-Mar 2022 07:30am","Sum of anions","1.320","meq/L"
"M35/1382","20222480","16-Mar 2022 07:30am","Sum of cations","1.350","meq/L"
"M35/1382","20222480","16-Mar 2022 07:30am","Total Coliforms","<1.00","number/100mL"
"M35/1382","20222480","16-Mar 2022 07:30am","Water Temperature (Field)","13.1","C"
"M35/1382","20218309","14-Dec 2021 08:30am","Alkalinity, Total","50.0","g/m3 as CaCO3"
"M35/1382","20218309","14-Dec 2021 08:30am","Bicarbonate","61.000","mg/L  at 25°C"
"M35/1382","20218309","14-Dec 2021 08:30am","Calcium, Dissolved","17.100","mg/L"
"M35/1382","20218309","14-Dec 2021 08:30am","Chloride","4.200","mg/L"
"M35/1382","20218309","14-Dec 2021 08:30am","Conductivity","12.9","mS/m"
"M35/1382","20218309","14-Dec 2021 08:30am","Conductivity (Field)","12.92","mS/m"
"M35/1382","20218309","14-Dec 2021 08:30am","Difference in Ion Balance","0.920","%"
"M35/1382","20218309","14-Dec 2021 08:30am","Dissolved Oxygen","8.790","mg/L"
"M35/1382","20218309","14-Dec 2021 08:30am","Dissolved Oxygen Saturation","85.000","%"
"M35/1382","20218309","14-Dec 2021 08:30am","E. coli","<1","MPN/100mL"
"M35/1382","20218309","14-Dec 2021 08:30am","Hardness, Total","51.000","g/m3 as CaCO3"
"M35/1382","20218309","14-Dec 2021 08:30am","Magnesium, Dissolved","2.000","mg/L"
"M35/1382","20218309","14-Dec 2021 08:30am","Nitrate Nitrogen","0.590","mg/L"
"M35/1382","20218309","14-Dec 2021 08:30am","Oxidation Reduction Potential","176.500","mV"
"M35/1382","20218309","14-Dec 2021 08:30am","pH","7.6",""
"M35/1382","20218309","14-Dec 2021 08:30am","pH (Field)","6.96",""
"M35/1382","20218309","14-Dec 2021 08:30am","Potassium, Dissolved","0.890","mg/L"
"M35/1382","20218309","14-Dec 2021 08:30am","Silica, Reactive","12.200","mg/L  as SiO2"
"M35/1382","20218309","14-Dec 2021 08:30am","Sodium, Dissolved","5.000","mg/L"
"M35/1382","20218309","14-Dec 2021 08:30am","Sulphate","5.400","mg/L"
"M35/1382","20218309","14-Dec 2021 08:30am","Sum of anions","1.280","meq/L"
"M35/1382","20218309","14-Dec 2021 08:30am","Sum of cations","1.260","meq/L"
"M35/1382","20218309","14-Dec 2021 08:30am","Total Coliforms","<1.00","number/100mL"
"M35/1382","20218309","14-Dec 2021 08:30am","Water Temperature (Field)","13.7","C"
"M35/1382","20215725","22-Sep 2021 12:00pm","Alkalinity, Total","53.0","g/m3 as CaCO3"
"M35/1382","20215725","22-Sep 2021 12:00pm","Ammoniacal Nitrogen","<0.010","mg/L"
"M35/1382","20215725","22-Sep 2021 12:00pm","Bicarbonate","64.000","mg/L  at 25°C"
"M35/1382","20215725","22-Sep 2021 12:00pm","Calcium, Dissolved","21.000","mg/L"
"M35/1382","20215725","22-Sep 2021 12:00pm","Chloride","5.300","mg/L"
"M35/1382","20215725","22-Sep 2021 12:00pm","Conductivity","14.0","mS/m"
"M35/1382","20215725","22-Sep 2021 12:00pm","Conductivity (Field)","13.69","mS/m"
"M35/1382","20215725","22-Sep 2021 12:00pm","Difference in Ion Balance","3.200","%"
"M35/1382","20215725","22-Sep 2021 12:00pm","Dissolved Oxygen","8.860","mg/L"
"M35/1382","20215725","22-Sep 2021 12:00pm","Dissolved Oxygen Saturation","86.300","%"
"M35/1382","20215725","22-Sep 2021 12:00pm","Dissolved Reactive Phosphorus","0.0031","mg/L"
"M35/1382","20215725","22-Sep 2021 12:00pm","E. coli","<1","MPN/100mL"
"M35/1382","20215725","22-Sep 2021 12:00pm","Fluoride","<0.050","g/m3"
"M35/1382","20215725","22-Sep 2021 12:00pm","Hardness, Total","62.000","g/m3 as CaCO3"
"M35/1382","20215725","22-Sep 2021 12:00pm","Iron, Dissolved","<0.020","mg/L"
"M35/1382","20215725","22-Sep 2021 12:00pm","Magnesium, Dissolved","2.300","mg/L"
"M35/1382","20215725","22-Sep 2021 12:00pm","Manganese, Dissolved","<0.0005","mg/L"
"M35/1382","20215725","22-Sep 2021 12:00pm","Nitrate Nitrogen","1.050","mg/L"
"M35/1382","20215725","22-Sep 2021 12:00pm","Nitrate-N Nitrite-N","1.050","g/m3"
"M35/1382","20215725","22-Sep 2021 12:00pm","Nitrite Nitrogen","<0.002","mg/L"
"M35/1382","20215725","22-Sep 2021 12:00pm","Oxidation Reduction Potential","352.800","mV"
"M35/1382","20215725","22-Sep 2021 12:00pm","pH","7.4",""
"M35/1382","20215725","22-Sep 2021 12:00pm","pH (Field)","6.50",""
"M35/1382","20215725","22-Sep 2021 12:00pm","Potassium, Dissolved","0.970","mg/L"
"M35/1382","20215725","22-Sep 2021 12:00pm","Silica, Reactive","12.600","mg/L  as SiO2"
"M35/1382","20215725","22-Sep 2021 12:00pm","Sodium, Dissolved","5.400","mg/L"
"M35/1382","20215725","22-Sep 2021 12:00pm","Sulphate","5.900","mg/L"
"M35/1382","20215725","22-Sep 2021 12:00pm","Sum of anions","1.400","meq/L"
"M35/1382","20215725","22-Sep 2021 12:00pm","Sum of cations","1.490","meq/L"
"M35/1382","20215725","22-Sep 2021 12:00pm","Total Coliforms","<1.00","number/100mL"
"M35/1382","20215725","22-Sep 2021 12:00pm","Total Dissolved Phosphorus","0.003","mg/L"
"M35/1382","20215725","22-Sep 2021 12:00pm","Water Temperature (Field)","13.8","C"
"M35/1382","20214380","22-Jun 2021 09:30am","Alkalinity, Total","48.0","g/m3 as CaCO3"
"M35/1382","20214380","22-Jun 2021 09:30am","Bicarbonate","58.000","mg/L  at 25°C"
"M35/1382","20214380","22-Jun 2021 09:30am","Calcium, Dissolved","17.800","mg/L"
"M35/1382","20214380","22-Jun 2021 09:30am","Chloride","3.600","mg/L"
"M35/1382","20214380","22-Jun 2021 09:30am","Conductivity","12.8","mS/m"
"M35/1382","20214380","22-Jun 2021 09:30am","Conductivity (Field)","12.21","mS/m"
"M35/1382","20214380","22-Jun 2021 09:30am","Difference in Ion Balance","1.620","%"
"M35/1382","20214380","22-Jun 2021 09:30am","Dissolved Oxygen","8.610","mg/L"
"M35/1382","20214380","22-Jun 2021 09:30am","Dissolved Oxygen Saturation","78.400","%"
"M35/1382","20214380","22-Jun 2021 09:30am","E. coli","<1","MPN/100mL"
"M35/1382","20214380","22-Jun 2021 09:30am","Hardness, Total","52.000","g/m3 as CaCO3"
"M35/1382","20214380","22-Jun 2021 09:30am","Magnesium, Dissolved","1.940","mg/L"
"M35/1382","20214380","22-Jun 2021 09:30am","Nitrate Nitrogen","0.910","mg/L"
"M35/1382","20214380","22-Jun 2021 09:30am","Oxidation Reduction Potential","257.300","mV"
"M35/1382","20214380","22-Jun 2021 09:30am","pH","7.3",""
"M35/1382","20214380","22-Jun 2021 09:30am","pH (Field)","6.49",""
"M35/1382","20214380","22-Jun 2021 09:30am","Potassium, Dissolved","0.910","mg/L"
"M35/1382","20214380","22-Jun 2021 09:30am","Silica, Reactive","12.400","mg/L  as SiO2"
"M35/1382","20214380","22-Jun 2021 09:30am","Sodium, Dissolved","4.900","mg/L"
"M35/1382","20214380","22-Jun 2021 09:30am","Sulphate","5.700","mg/L"
"M35/1382","20214380","22-Jun 2021 09:30am","Sum of anions","1.250","meq/L"
"M35/1382","20214380","22-Jun 2021 09:30am","Sum of cations","1.290","meq/L"
"M35/1382","20214380","22-Jun 2021 09:30am","Total Coliforms","<1.00","number/100mL"
"M35/1382","20214380","22-Jun 2021 09:30am","Water Temperature (Field)","11.4","C"
"M35/1382","20212112","04-Mar 2021 13:00pm","Alkalinity, Total","51.0","g/m3 as CaCO3"
"M35/1382","20212112","04-Mar 2021 13:00pm","Bicarbonate","62.000","mg/L  at 25°C"
"M35/1382","20212112","04-Mar 2021 13:00pm","Calcium, Dissolved","17.000","mg/L"
"M35/1382","20212112","04-Mar 2021 13:00pm","Chloride","2.900","mg/L"
"M35/1382","20212112","04-Mar 2021 13:00pm","Conductivity","12.3","mS/m"
"M35/1382","20212112","04-Mar 2021 13:00pm","Conductivity (Field)","12.22","mS/m"
"M35/1382","20212112","04-Mar 2021 13:00pm","Difference in Ion Balance","0.770","%"
"M35/1382","20212112","04-Mar 2021 13:00pm","Dissolved Oxygen","8.440","mg/L"
"M35/1382","20212112","04-Mar 2021 13:00pm","Dissolved Oxygen Saturation","80.800","%"
"M35/1382","20212112","04-Mar 2021 13:00pm","E. coli","<1","MPN/100mL"
"M35/1382","20212112","04-Mar 2021 13:00pm","Hardness, Total","51.000","g/m3 as CaCO3"
"M35/1382","20212112","04-Mar 2021 13:00pm","Magnesium, Dissolved","1.980","mg/L"
"M35/1382","20212112","04-Mar 2021 13:00pm","Nitrate Nitrogen","0.450","mg/L"
"M35/1382","20212112","04-Mar 2021 13:00pm","Oxidation Reduction Potential","198.900","mV"
"M35/1382","20212112","04-Mar 2021 13:00pm","pH","7.4",""
"M35/1382","20212112","04-Mar 2021 13:00pm","pH (Field)","6.42",""
"M35/1382","20212112","04-Mar 2021 13:00pm","Potassium, Dissolved","0.890","mg/L"
"M35/1382","20212112","04-Mar 2021 13:00pm","Silica, Reactive","11.600","mg/L  as SiO2"
"M35/1382","20212112","04-Mar 2021 13:00pm","Sodium, Dissolved","5.100","mg/L"
